TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Accuracy,BalancedAccuracy,Precision,Recall,F1,ErrorRate,TSS,HSS,BS,BSS,AUC,Model,Fold
2.7,27.9,0.7,2.1,4.8,28.6,0.4883333333333334,0.976478494623656,0.023521505376344086,0.5116666666666666,0.9130615342689646,0.7324059139784946,0.5714285714285714,0.4883333333333334,0.49588744588744593,0.08693846573103539,0.4648118279569893,0.46835039529937816,0.06695153166063383,0.29894907199328435,0.9027434038949849,RandomForest,0
3.2,27.6,1.0,1.6,4.8,28.6,0.59,0.9661098310291859,0.03389016897081413,0.41,0.9216282943063128,0.7780549155145929,0.5452380952380953,0.59,0.5580447330447331,0.07837170569368712,0.5561098310291859,0.53099660696819,0.06782333979304768,0.38695843889763804,0.8886886349677786,SVM,0
3.8,17.3,11.3,1.0,4.8,28.6,0.7983333333333333,0.5879640352634743,0.4120359647365257,0.20166666666666666,0.6268012259498328,0.6931486842984038,0.22601432880844646,0.7983333333333333,0.3478410263626982,0.37319877405016727,0.38629736859680763,0.18492177192571108,0.20161015802510834,-0.8002797163557901,0.8284524300603833,GRU,0
